matchnumber,roundnumber,date,location,group,homeaway,team,goals,penalties,ycards,rcards,fouls
1,1,11/06/2026 20:00,Mexico City Stadium,Group A,hometeam,Mexico,2,0,1,1,12
1,1,11/06/2026 20:00,Mexico City Stadium,Group A,awayteam,South Africa,0,0,2,2,11
2,1,12/06/2026 03:00,Guadalajara Stadium,Group A,hometeam,Korea Republic,2,0,1,0,9
2,1,12/06/2026 03:00,Guadalajara Stadium,Group A,awayteam,Czechia,1,0,0,0,16
3,1,12/06/2026 20:00,Toronto Stadium,Group B,hometeam,Canada,1,0,2,0,10
3,1,12/06/2026 20:00,Toronto Stadium,Group B,awayteam,Bosnia and Herzegovina,1,0,3,0,20
4,1,13/06/2026 02:00,Los Angeles Stadium,Group D,hometeam,USA,4,0,1,0,13
4,1,13/06/2026 02:00,Los Angeles Stadium,Group D,awayteam,Paraguay,1,0,5,0,17
8,1,13/06/2026 20:00,San Francisco Bay Area Stadium,Group B,hometeam,Qatar,1,0,2,0,11
8,1,13/06/2026 20:00,San Francisco Bay Area Stadium,Group B,awayteam,Switzerland,1,0,1,0,12
7,1,13/06/2026 23:00,New York/New Jersey Stadium,Group C,hometeam,Brazil,1,0,2,0,16
7,1,13/06/2026 23:00,New York/New Jersey Stadium,Group C,awayteam,Morocco,1,0,0,0,14
5,1,14/06/2026 02:00,Boston Stadium,Group C,hometeam,Haiti,0,0,1,0,23
5,1,14/06/2026 02:00,Boston Stadium,Group C,awayteam,Scotland,1,0,3,0,21
6,1,14/06/2026 05:00,BC Place Vancouver,Group D,hometeam,Australia,2,0,0,0,12
6,1,14/06/2026 05:00,BC Place Vancouver,Group D,awayteam,Türkiye,0,0,1,0,4
10,1,14/06/2026 18:00,Houston Stadium,Group E,hometeam,Germany,7,0,0,0,18
10,1,14/06/2026 18:00,Houston Stadium,Group E,awayteam,Curaçao,1,0,0,0,11
11,1,14/06/2026 21:00,Dallas Stadium,Group F,hometeam,Netherlands,2,0,3,0,7
11,1,14/06/2026 21:00,Dallas Stadium,Group F,awayteam,Japan,2,0,0,0,7
9,1,15/06/2026 00:00,Philadelphia Stadium,Group E,hometeam,Côte d'Ivoire,1,0,3,0,10
9,1,15/06/2026 00:00,Philadelphia Stadium,Group E,awayteam,Ecuador,0,0,1,0,13
12,1,15/06/2026 03:00,Monterrey Stadium,Group F,hometeam,Sweden,5,0,0,0,10
12,1,15/06/2026 03:00,Monterrey Stadium,Group F,awayteam,Tunisia,1,0,1,0,6
14,1,15/06/2026 17:00,Atlanta Stadium,Group H,hometeam,Spain,0,0,1,0,10
14,1,15/06/2026 17:00,Atlanta Stadium,Group H,awayteam,Cabo Verde,0,0,1,0,1
