sweep_rank,fifa_rank,country
1,1,France
2,2,Spain
3,3,Argentina
4,4,England
5,5,Portugal
6,6,Brazil
7,7,Netherlands
8,8,Morocco
9,9,Belgium
10,10,Germany
11,11,Croatia
12,13,Colombia
13,14,Senegal
14,15,Mexico
15,16,USA
16,17,Uruguay
17,18,Japan
18,19,Switzerland
19,21,Iran
20,22,Türkiye
21,23,Ecuador
22,24,Austria
23,25,South Korea
24,27,Australia
25,28,Algeria
26,29,Egypt
27,30,Canada
28,31,Norway
29,33,Panama
30,34,Ivory Coast
31,38,Sweden
32,40,Paraguay
33,41,Czechia
34,43,Scotland
35,44,Tunisia
36,46,Congo DR
37,50,Uzbekistan
38,55,Qatar
39,57,Iraq
40,60,South Africa
41,61,Saudi Arabia
42,63,Jordan
43,65,Bosnia and Herzegovina
44,69,Cape Verde
45,74,Ghana
46,82,Curaçao
47,83,Haiti
48,85,New Zealand
